CTRL,Bauer et al (pg.),Schneider; Ur III,Rosengarten,LAK,REC,OBO,Labat,Borger (MesZL),unicode,OB Signs,Sign var. (?),OGSL,SIGN NAME,ED III Sumerian (Oracc),ED III Sumerian (Oracc)_att,Lagaš II Sumerian (Oracc),Lagaš II Sumerian (Oracc)_att,Ur III,OB Sumerian,Basic Meaning,Other,Akkadian word equivalent,Uruk,Pre-Sargonic,Ebla,Ebla Meaning,OAkk,OB,OA,OA Meaning,Amarna,MA (Oracc),MA (Oracc)_att,MB (Oracc),MB (Oracc)_att,Nuzi,NA,NA (Oracc),NA (Oracc)_att,NB (Oracc),NB (Oracc)_att,LB (Oracc),LB (Oracc)_att
,,,,,,98,248,402,,𒃋, 𒃋,|GA₂×GAN₂@t|,DAN4,,,,,,tan4 [dan4],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,37,114,183,,𒁯, 𒁯,DAR,DAR (GUN3),dar; gun₃; DAR,dar (33); gun₃ (15); DAR (11),dar; gun₃,dar (8); gun₃ (1),,dar; dara6 (in in-dara6); gunu3 (gun3),to split; (gun3): adj.; multicolored; v.; to decorate with colors,to split; break up; crush; cut open,,,,,,,, dar; ṭar2,,,,,dar; tar₂; ṭar₂; DAR,tar₂ (7); ṭar₂ (2); DAR (1); dar (1),,,dar; dir₂; tar₂; DAR,tar₂ (61); dar (11); DAR (1); dir₂ (1),dar; tar₂; DAR,dar (13); tar₂ (1); DAR (1),dar; tir₃; ṭar₂,dar (55); ṭar₂ (2); tir₃ (1)
,,,,,,365,100,166,,𒁰, 𒁰,DARA₃,DAR3,dara₃; durah,dara₃ (2); durah (1),tarah,tarah (1),,tarah [dara3; durah],,,,,,,,,,,,,,,,,,,ṭar₃,ṭar₃ (3),,,,
,,,,,,421,540,817,,𒁱, 𒁱,DARA₄,DARA4,dara₄,dara₄ (49),,,,tara4 [dara4],,,,,,,,,,,,,,,,,,,,,,,,
,276,,,155/156,,215,338,547,,𒌣,𒌤 ,|UMUM×KASKAL|,DE2,|UMUM×KASKAL|; de₂; dim₆,de₂ (8); dim₆ (5); |UMUM×KASKAL| (1),de₂,de₂ (187),,de2; si7? k; umum; (abzu2); [simug]; [umun2],to pour; (umun2): knowledge,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,431,457,736,,𒁲,𒁲,DI,DI,di; sa₂; silim; DI,sa₂ (43); DI (27); di (21); silim (1),di; sa₂; silim,sa₂ (28); di (15); silim (1),,di; sa2; silim; (de); (si8 k),n.; judgement; trial; v.; to go; pass; (silim): peace,,,,,,,,, di; sa2 (uncommon; sa3 preferred); SILIM - šalāmum ‘to be safe; well; successful’ (1x SÁ for ṣa TPAK 1; 156a),,,de; di; ṭe; ṭi,di (27); ṭi (6); de (2); ṭe (1),de; di; sa₂; ti₄; ṭe; ṭi; DI,di (528); de (96); ṭi (18); ti₄ (3); sa₂ (3); DI (1); ṭe (1),,,de; di; sa₂; šul₃; ti₄; ṭe; ṭi; DI,di (2827); DI (1249); de (1170); ṭi (522); ṭe (81); šul₃ (7); sa₂ (6); ti₄ (2),de; di; ṭe; ṭi; DI,di (893); de (189); ṭi (67); DI (50); ṭe (15),de; di; ti₄; ṭe; ṭi; DI,di (623); de (95); ṭi (42); ṭe (17); DI (5); ti₄ (2)
,,,,,,419,537,813,,𒁳, 𒇻,DIB,DIB,dab; dib,dib (1); dab (1),,,,dab; dib; nu12; (lu+),to pass (by); to traverse; (dab): to hold; to seize; to catch ,,,,,,,,,,,,,,dab; DIB,dab (2); DIB (1),,,dab; dap; dib; dip; teb; ṭab₃; ṭib; DIB,DIB (169); dib (33); ṭib (20); dab (15); dap (11); teb (1); ṭab₃ (1); dip (1),dab; dib; tep; ṭib; DIB,dib (109); DIB (73); dab (73); tep (8); ṭib (2),dab; dib,dib (22); dab (6)
,,,,,,310,117,191,,𒊠,𒊤,|SAG×ŠID|,DILIB3 (SAĜ×RA),,,,,,dilib3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,14,94,167,,𒁴, 𒁴,DIM,DIM,dim; DIM,dim (23); DIM (3),dim; DIM,dim (4); DIM (2),,dim (tim); (mun-),,post; pillar; rod; stake; pole; binding; knot; bond,timmu; makūtu; riksu,,,,,,, dim; tim; ṭim,,,,,ti₃; tim,tim (13); ti₃ (11),,,dim; ti₃; tim; ṭem; DIM,tim (246); ti₃ (67); dim (44); ṭem (2); DIM (2),ti₃; tim,tim (242); ti₃ (1),ti₃; tim; ṭim; DIM,ti₃ (112); ṭim (4); tim (2); DIM (1)
,,,,,,254,150,264,,𒈚, 𒈚,LU₂@s,DIM3 (LU2-š.),,,LU₂@s,LU₂@s (1),,dim3; irinax k; (ad7 k); (erina3? k),,,,,,,,,,,,,,,,,,,dim₃,dim₃ (1),,,,
,,,,,,51,122.1,202,,𒈣, 𒈣𒆕 ,|MA₂.MUG|,DIMGUL (MA2×GAG),,,,,,dimgul2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,361,465,119,12077,𒁷, 𒁷,DIN,DIN,din; tin; DIN,din (11); tin (4); DIN (2),,,,din/tin k (kurun2); (ten2 k),(kurun2): an alcoholic drink,,,,,,,,,,,,,,din; ti₂; tin; DIN,din (115); tin (6); DIN (3); ti₂ (1),,,den; din; ten₂; tin; ṭin; DIN,din (685); tin (73); ten₂ (15); DIN (11); den (1); ṭin (1),den; din; tin; ṭin; DIN,din (123); tin (15); DIN (6); ṭin (1); den (1),di₂; din; tin; DIN,din (1717); DIN (199); tin (13); di₂ (5)
,,,,,,164.1,123,207,122DB+12000,𒋛𒀀, 𒋛𒀀,|SI.A|,DIR (SI.A),,,dirig,dirig (6),,diri; ušub; (sa5 k); [dirig],surplus; superfluous; superior; (sa5): red,,,,,,,,,DIRI - watrum,in addition; extra,,,,,,,dir; ṭir; mál; mal2; sa5,|SI.A|; dir; mal₂; ṭer; ṭir,dir (142); ṭir (59); ṭer (1); mal₂ (1); |SI.A| (1),dir; mal₂; ṭir,mal₂ (110); ṭir (10); dir (3),ṭer; ṭir,ṭir (96); ṭer (1)
,,,,,,390,480,748,,𒁹, 𒁹,DIŠ,DIŠ,1(barig); 1(diš); diš@c; DIŠ,1(diš) (18); diš@c (13); DIŠ (1); 1(barig) (1),1(diš); diš,1(diš) (2); diš (1),,deš/teš k; ĝeš2; [diš],one,,,,,,,,, DIŠ - ‘1’,,,ana,ana (9),ana; diš; gi₃; m; tiz; DIŠ,tiz (3); DIŠ (3); ana (1); gi₃ (1); m (1); diš (1),,,1(diš); ana; daš₂; deš; diš; gi₃; il₄; m; tiš; ṭiš; DIŠ,ana (1827); diš (76); gi₃ (62); DIŠ (47); deš (26); ṭiš (8); il₄ (3); tiš (2); m (2); daš₂ (1); 1(diš) (1),ana; deš; diš; gi₃; ṭiš; DIŠ,ana (370); diš (42); ṭiš (30); deš (3); gi₃ (1); DIŠ (1),ana; daš₂; diš; gi₃; DIŠ,ana (372); DIŠ (5); gi₃ (2); diš (2); daš₂ (1)
,,704,369; 370,,,64,206,350,,𒁺, 𒁺,DU,DU,du; ŋen; ŋin; im₆; ir₁₀; ra₂; ša₄; DU,DU (100); du (18); ra₂ (9); ir₁₀ (4); ŋen (4); im₆ (2); ŋin (2); ša₄ (1),de₆; du; gub; ŋen; ra₂; re₆; ri₆; ša₄; tum₂; DU,gub (22); de₆ (7); DU (6); ra₂ (5); ŋen (4); tum₂ (3); ša₄ (2); du (2); ri₆ (2); re₆ (1),,de6; du; gub; ĝen; lah6; men3; ra2; re6; ša4; tum2; barim-; im2-; kaš4-; (sux k); (gir5-); (suhuš-); [gir7]; [ĝin]; [im4]; [kaš5]; [kux k]; [suhušx]; lah5(DU.DU),(du): to go (sg. marû); (gub): to stand; to set (sg.); (ĝin): to go (sg. hamtu),,,,,,,,, du; ṭu3; tu3,,,du; DU,du (49); DU (2),du; gub; qup; tu₃; ṭu₃; DU,du (726); tu₃ (212); gub (141); ṭu₃ (16); DU (10); qup (1),,,du; gub; gup; kub; kup; qub; qup; tu₃; ṭu₃; DU,du (2755); DU (358); gub (142); qup (55); kup (17); ṭu₃ (16); kub (10); gup (6); tu₃ (1); qub (1),du; gub; kin₇; kub; kup; DU,du (814); DU (127); kin₇ (5); gub (2); kub (2); kup (2),du; kin₇; ša₄; tu₃; DU,du (572); kin₇ (437); DU (170); tu₃ (1); ša₄ (1)
,,,,,,311,459.1,721,,𒇯,𒇯,LAGAR@g,DU6 (LAGAR-g.),du₆; LAGAR@g,du₆ (20); LAGAR@g (15),du₆,du₆ (2),,du6,hill; tell,,,,,,,,,,,,,,,,,,du₆; dul₆; til₂; tul₅; ṭul₃,dul₆ (42); du₆ (20); tul₅ (2); til₂ (1); ṭul₃ (1),du₆,du₆ (2),,
,,,,,,335,459.1,721,,𒇰,𒇰,,DU6/DU6,,,,,,s. 146. U2.“DU6”/“DU6”.ŠE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,112.2,138,242,,𒁾, 𒁾,DUB,DUB,dub; dup,dub (28); dup (1),dub; kišib₃; DUB,dub (17); DUB (1); kišib₃ (1),,dab4; dub; kišeb; [kišib3],n.; tablet; v.; to heap up; to store,,,,,,,,, ṭup (only in ṭuppum); DUB - ṭuppum,tablet,,,,dub; tup; ṭup; DUB,ṭup (50); DUB (24); tup (5); dub (3),,,dub; dup; tub; tup; ṭub; ṭup; DUB,ṭup (178); DUB (144); dup (28); tup (21); dub (6); tub (5); ṭub (1),dup; tup; ṭup; DUB,ṭup (61); DUB (13); tup (2); dup (1),ṭub; ṭup; DUB,DUB (35); ṭup (13); ṭub (3)
,,,,,,82,352,565.2,,𒂀, 𒁆,DUB₂,DUB2,dub₂; DUB₂,dub₂ (4); DUB₂ (3),dub₂,dub₂ (2),,dub2 (in u3-dub2); tub2,to (make) tremble,,,,,,,,,,,,,,tup₂; DUB₂,tup₂ (4); DUB₂ (2),,,dub₂; tub₂; DUB₂,tub₂ (7); dub₂ (2); DUB₂ (1),,,,
,,,,,,80,309,499,,𒂁, 𒂁,DUG,DUG (BI×A),dug,dug (7),DUG,DUG (2),,dug; gurun7 (gurinx k) [kurinx],earthen vessel,,,,,,,,, DUG - karpatu,jar; pot,,,,luṭ; DUG,DUG (8); luṭ (1),,,duk; duq; lud; lut; luṭ; tuk₃; DUG,lud (24); luṭ (24); lut (17); duq (12); duk (10); DUG (7); tuk₃ (1),duk; lud; lut; luṭ; DUG,duk (35); luṭ (13); lut (11); lud (10); DUG (1),duk; lud; lut; luṭ; DUG,luṭ (82); duk (9); DUG (8); lut (8); lud (4)
,,,,,,349,445,704,,𒂂, 𒂂,DUGUD,DUGUD,dugud,dugud (4),dugud,dugud (2),,dugud,heavy,,,,,,,,,,,,,,DUGUD,DUGUD (4),,,DUGUD,DUGUD (19),,,,
,,,,,,360,459,720,,𒌋𒌆,𒇯,|U.TUG₂|,DUL (U.TUG2),,,,,,dul,to cover,,,,,,,,,,,,tul,tul (5),tul,tul (1),,,dul; tul,dul (385); tul (26),dul; tul,dul (64); tul (1),dul; tul,dul (103); tul (2)
,,,,,,331,329,512,,𒊨,𒊨,SAG@g,DUL3 (SAĜ-g.),dul₃; sumur; sur₂; šur₂; SAG@g,SAG@g (22); dul₃ (9); šur₂ (7); sur₂ (2); sumur (1),kuš₂; sumur,sumur (1); kuš₂ (1),,dil2; kuš2; sumur; sur2; (dul3k); [dul3]; [šur2],(kuš2): to be tired; to be out of breath; (šur2): furious,,,,,,,,, ANDUL - ṣulūlum,protection,,,,,,,,,,,,,
,,,,,,220.1,348,557,,𒂈,𒂈 ,DUN₄,DUN4 (UR-g.),,,dul₄,dul₄ (1),,dul4; šutul4; (dun4 k); [šudul4; šudun4],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,220.2,575.2,829,,𒂈,,DUN₄,DUN4 (UR-š.),,,dul₄,dul₄ (1),,dul9; šutul5; [šudul5; šudun5]; [dul4],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,88,108,178,,𒄙, 𒄙,|GU₂×KAK|,DUR,|GU₂×KAK|; dur,dur (17); |GU₂×KAK| (3),dur,dur (1),,dur; usan6,,,,,,,,,,,,,tur₂,tur₂ (1),ṭur,ṭur (1),,,dur; tur₂; ṭur,ṭur (96); dur (37); tur₂ (5),dur; ṭur,ṭur (11); dur (5),tur₂; ṭur,ṭur (2); tur₂ (2)
,,,,,,167,308,498,,𒂊,𒂊 ,E,E,e; E,e (12); E (5),e; eg₂; E,e (101); eg₂ (1); E (1),,e; eg2/ig2,to say; to do (aux. verb; marû); (e-(g)): levee,,,,,,,,, e,,,e,e (79),e; i₁₅; E,e (805); i₁₅ (11); E (1),,,e; E,e (6548); E (9),e; E,e (2527); E (8),e; E,e (965); E (67)
,,,,,,107,324,495,,𒂍, 𒂍,E₂,E2,ʾa₃; e₂; E₂,e₂ (141); E₂ (21); ʾa₃ (21),e₂,e₂ (323),,e2; [ˀa3],house(hold); temple,,,,,e2; ˀa3; [ˀa5],house,,, E2 - bētum; e2 (very rare; in PN SU2-e2-a),house,,bit; pit; E₂,bit (2); E₂ (1); pit (1),bit; e₂; E₂,E₂ (182); e₂ (17); bit (1),,,ʾa₃; bet; bid; bit; biti; biṭ; e₂; pet; pid; pit; piṭ; E₂,E₂ (2714); e₂ (291); bit (261); bet (51); pit (25); biṭ (8); piṭ (5); pet (5); pid (1); biti (1); ʾa₃ (1); bid (1),bet; bit; e₂; pet; pid; pit; E₂,E₂ (422); bit (65); bet (28); pid (20); pit (8); e₂ (4); pet (2),bid; bit; e₂; pit; E₂,E₂ (3214); e₂ (37); bit (28); bid (4); pit (1)
,,,,,,115,168,300,,𒂔, 𒂔,EDIN,EDIN,eden; edin; EDIN,EDIN (11); edin (8); eden (3),eden,eden (1),,edin (denx k); (edim2 k); [eden],plain; steppe,,,,,,,,,,,,EDIN,EDIN (4),,,,,ru₆; EDIN,EDIN (105); ru₆ (4),EDIN,EDIN (111),EDIN,EDIN (117)
,,,,,,453,554.84,897,,𒊩𒂠, 𒊩𒉇,|SAL.EŠ₂|,EGI2 (MUNUS.ŠE3),,,,,,egi2; nin+/nen+; nin9+/nen9+; [egir3],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76,209,356,,𒂕, 𒂕,EGIR,EGIR,egir; EGIR,egir (2); EGIR (1),eŋir,eŋir (2),,egir [eger; eĝer; eĝir],back; behind; after,,,,,,,,,,,,,,EGIR,EGIR (17),,,EGIR,EGIR (137),EGIR,EGIR (47),EGIR,EGIR (13)
,,,,,,455,564,899,,𒂖,𒂖,EL,EL (SIKIL),sikil; EL,sikil (15); EL (3),sikil,sikil (8),,el; sikil,pure; virgin,,,,,,,,, el; il5; ili5,,,el,el (7),el; il₅,el (97); il₅ (57),,,el; il₅,el (332); il₅ (1),el,el (41),el,el (2)
,,,,,,326,32,61,12174,𒅴, 𒅴,|KA×ME|,EME (KA×ME),|KA×ME|; eme,eme (12); |KA×ME| (1),eme,eme (1),,eme,tongue,,,,,,,,,,,,,,eme,eme (1),,eme,|KA×ME|; eme,|KA×ME| (2); eme (1),,,,
,,,,,,62,99,164,,𒂗, 𒂗,EN,EN,en; ru₁₂; EN,en (189); EN (36); ru₁₂ (1),en; uru₁₆,en (97); uru₁₆ (14),,en; ru12; uru16; [urunx],dignatary; lord,,,,,en,ruler,,, en; in4,,,,,en; in₄; EN,EN (1254); en (106); in₄ (90),,,en; EN,EN (4625); en (286),en; EN,EN (1504); en (232),en; EN,EN (797); en (59)
,,,,,,404,484,756,,𒇉,𒇉,|LAGAB×HAL|,ENGUR (LAGAB×HAL),|LAGAB×HAL|; engur; namma,|LAGAB×HAL| (5); engur (3); namma (1),engur,engur (1),,engur; namma; (i8); [nammu],sea; lake (myth.),,,,,,,,,,,,,,,,,,namma,namma (1),,,,
,,,,,,398,541,818,,𒂞, 𒂞,EREN,EREN,eren; erin; EREN,EREN (10); eren (8); erin (1),eren,eren (14),,eren; še22; šeš4; [erin],cedar,,,,,,,,,,,,,,EREN,EREN (1),,,EREN,EREN (8),,,,
,,,,,,247,393,612,,𒂟,𒂟,ERIN₂,ERIM,eren₂; erim; erin₂; ERIN₂,ERIN₂ (3); eren₂ (3); erim (3); erin₂ (2),,,,eren2/erin2; rin2; surx? k; [bir3]; [erim],troops; gang of workers,,,,,,,,,,,,pir₂,pir₂ (1),ERIN₂,ERIN₂ (5),,,erim; lah₂; pir₂; ṣab; ṣap; zab; zap; ERIN₂,ṣab (101); ṣap (42); zab (20); ERIN₂ (15); lah₂ (14); zap (9); erim (2); pir₂ (1),pir₂; rin₂; ṣab; zab; ERIN₂,ṣab (70); ERIN₂ (15); zab (3); rin₂ (1); pir₂ (1),ṣab; zab; ERIN₂,ERIN₂ (14); zab (10); ṣab (8)
,,,,,,191,49,83,1233F,𒌿, 𒌿,|URU×GAR|,ERIM3 (URU×NIĜ2),,,,,,irimma [erim3],storehouse,,,,,,,,,,,,,,,,,erim3,,,,,,
,,,,,,366,472,711,,𒌍, 𒌍,|U.U.U|,EŠ,|U.U.U|; 3(u); eš,eš (29); |U.U.U| (3); 3(u) (2),,,,eš; ušu3,,,,,,,,,, eš; iš3 (uncommon; iš preferred); UŠU3 - ‘30’,,,es₂; eš,es₂ (3); eš (2),ba₃; eš; iš₃,eš (101); iš₃ (92); ba₃ (2),,,ba₃; eš; iš₃; sin; ṣin,eš (244); sin (48); ba₃ (9); iš₃ (1); ṣin (1),eš; sin,eš (87); sin (11),eš; sin,eš (99); sin (3)
,,,,,,469,593,834,,𒐗, 𒐈,|DIŠ.DIŠ.DIŠ|,EŠ5,,,eš₅,eš₅ (5),,eš5,,,,,,,,,,,,,,,,,,,,,,,,
,,3,,,,2,2.1,4,12401,𒐁, 𒐁,|AŠ.AŠ.AŠ|,EŠ6,,,,,,eš6,three (talents),#3,,,,,,,#3, EŠ6,3 (talents),,,,,,,,,,,,,
,,,,,,100,261,418,,𒃥, 𒃥,|GA₂×ŠE|,ESAĜ2 (ĜA2/E2×ŠE),,,,,,asaĝ2 [esaĝ2],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,114,12458,,,,EŠE3 (AŠ-U),,,,,,,,,,,,,,,,,,,,,,,,èše; eše3,,,,,,
,,,,,,406,487,761,,𒇒,𒇒,|LAGAB×KUL|,ESIR2 (LAGAB×KUL),esir₂,esir₂ (2),esir₂,esir₂ (1),,esir2,bitumen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,152.1,152,271.1,,𒂡,𒂡 ,EZEN,EZEN,ezen; šir₃; EZEN,EZEN (11); ezen (9); šir₃ (3),ezen,ezen (3),,izim; kirid k; asila-; [asila(l)x]; [ezem/ezen]; [girid],festival,,,,,,,,,,,,šer₃,šer₃ (1),šer₃,šer₃ (3),,,sir₃; šer₃; šir₃; EZEN,šir₃ (70); šer₃ (36); EZEN (4); sir₃ (1),šir₃; EZEN,šir₃ (11); EZEN (2),šer₃; šir₃,šir₃ (53); šer₃ (4)
,,,,,,155,154,278,,,,|EZEN×GUD|,EZEN×GU4,,,,,,gublaga2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,156,152.16,284,,𒂮, 𒂩,|EZEN×KU₃|,EZEN×KUG,,,,,,kisiga,,,,,,,,,,,,,,,,,,,,,,,,
,,,,621,,154,152.9,274,,𒂯, 𒂯,|EZEN×LA|,EZEN×LA,,,,,,gublaga,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,201,319,491,,𒂵,𒂵,GA,GA,ga; qa₂; GA,ga (108); GA (2); qa₂ (1),ga; GA,ga (167); GA (1),,ga; gur11,milk,,,,,,,,, ga; qa2; ka3,,,ga; qa₂; GA,ga (16); qa₂ (2); GA (1),ga; ka₃; qa₂; GA,ga (205); ka₃ (78); qa₂ (46); GA (15),,,ga; ka₃; qa₂; GA,ga (1017); qa₂ (45); GA (42); ka₃ (22),ga; qa₂; GA,ga (178); qa₂ (1); GA (1),ga; qa₂; GA,ga (198); GA (4); qa₂ (1)
,,,,,,93,233,387,,𒂷, 𒂷,GA₂,ĜA2,ba₄; bisaŋ; ga₂; ŋa₂; pisaŋ; GA₂,ba₄ (25); GA₂ (12); ŋa₂ (11); pisaŋ (4); bisaŋ (1); ga₂ (1),bisaŋ; ŋa₂; ŋe₂₆,ŋa₂ (60); ŋe₂₆ (3); bisaŋ (3),,ba4; bešeĝ k; ĝa2; ĝe26; ma3; mal; [bisaĝ/n; pisaĝ/n; ša13],(ĝal2/ĝa2-ĝa2): to be (sumewhere); to have; (pisan): box,,,,,,,,,,,,,,ga₂; mal,ga₂ (2); mal (1),,,ba₄; ga₂; mal,mal (85); ba₄ (40); ga₂ (3),ba₄; mal; GA₂,mal (12); ba₄ (2); GA₂ (1),ba₄; mal,ba₄ (20); mal (1)
,,,,,,141,167,298,,𒃮, 𒃮,GABA,GAB (DU8; TUH),du₈; gaba; GABA,du₈ (46); gaba (2); GABA (2),du₈; gaba; GABA,du₈ (9); gaba (6); GABA (1),,du8; gaba; tuh [duh],breast; side (of a field or mountain); (du8): to open; to untie; to caulk a boat.,,,,,,,,, tuh (very rare: Tuh-pi2-a),,,gap; qab,gap (2); qab (1),gab; gaba; qab; tah₂,gab (9); tah₂ (2); gaba (1); qab (1),,,gab; gaba; gap; qab; qap; tah₂; tuh; tuhu; ṭah₂; ṭuh; GABA,qab (470); gab (450); GABA (63); ṭuh (36); gap (17); tuh (8); qap (6); gaba (1); tuhu (1); tah₂ (1); ṭah₂ (1),gab; gap; qab; tah₂; ṭuh; GABA,qab (156); gab (152); GABA (9); gap (4); ṭuh (3); tah₂ (2),gab; gaba; qab; qap; GABA,gab (766); qab (17); gaba (4); GABA (4); qap (2)
,,,,,,299,90,157,,𒃰, 𒃰,GAD,GAD,gada; GAD,gada (6); GAD (1),gada,gada (1),,gada [gad],linen,,,,,,,,,,,,kat,kat (2),gat; kat; qat₃; GAD,kat (27); GAD (18); qat₃ (2); gat (1),,,gad; gat; kad; kat; qad₃; qat₃,kad (36); gat (34); kat (23); qat₃ (3); qad₃ (1); gad (1),gat; kad; kat; qad₃,qad₃ (11); kad (5); gat (4); kat (4),gad; kat,gad (12); kat (1)
,,,,,,260,230,379,,𒆕,𒆕 ,KAK,GAG,da₃; du₃; gag; kak; qaq; ru₂; KAK,du₃ (27); KAK (22); gag (4); da₃ (2); kak (1); qaq (1); ru₂ (1),du₃; gag; ru₂,du₃ (218); ru₂ (4); gag (3),,du3; gag; henbur; (zaraxk); [kak],(du3): to make; to plant; to apply; (kak): peg; nail,,,,,,,,, GAG - sikkatum,peg; nail,,,,kak; KAK,kak (9); KAK (6),,,da₃; du₃; gag; kak; kal₃; kaq; qaq; KAK,kal₃ (87); kaq (83); qaq (80); kak (66); da₃ (35); du₃ (13); gag (7); KAK (3),da₃; kak; kal₃; kaq; qaq,qaq (30); kal₃ (7); kak (4); da₃ (2); kaq (1),qaq,qaq (4)
,,,,,,339,416,668,,𒌋𒁵,𒌋𒁵,|U.DIM×ŠE|,GAKKUL (U.MUN),,,,,,gakkul,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,338,415.1,667,,𒌋𒁴,𒌋𒁴,|U.DIM|,GAKKUL3 (U.DIM),,,,,,gakkul3 k,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,213,343,553,,𒃲, 𒃲,GAL,GAL,gal; GAL,gal (247); GAL (78),gal,gal (59),,gal,large; great,,,,,,,,, gal; qal; kal2; GAL - rabāˀum,to be big,,gal; GAL,gal (1); GAL (1),gal; kal₂; qal; GAL,gal (195); GAL (106); kal₂ (10); qal (2),,,gal; qal; GAL,GAL (1184); gal (219); qal (40),gal; qal; GAL,GAL (1244); gal (30); qal (8),gal; qal; GAL,GAL (176); qal (17); gal (8)
,,,,,,210,190.11,338,,𒃴, 𒃴,GALAM,GALAM,sukud; ubi,sukud (2); ubi (1),,,,galam (Cf. 133. SUKUD),clever,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,105,278,431,,𒃌,𒃌,|GA₂×GAR|,ĜALGA (ĜA2/E2×NIĜ2),|GA₂×GAR|,|GA₂×GAR| (6),,,,ĝalga,advice,,milkum,,,,,,,,,,,,,,,,,,,,,
,,,,,,359,362,576,,𒃵, 𒃵,GAM,GAM,gam; GAM,gam (10); GAM (8),,,,girum/gurum; (gam); (gur2),to curb; to subdue,,,,,"ĝiš-gurum(GAM)
ni-iš-ku-ru-me | Cavigneaux Iraq 55: 94: |
(syll.)",,,,,,,gur₂,gur₂ (1),gam; GAM,GAM (3); gam (1),,,gam; gur₂; qam; GAM,gam (276); gur₂ (54); GAM (15); qam (11),gam; qam; GAM,gam (17); GAM (5); qam (2),gam,gam (41)
,,,,,,268,60.1,97,1219B,𒉽,𒆛,KAM₄,GAM3 (PAP.NA2),gam₃; KAM₄,gam₃ (4); KAM₄ (1),,,,gam3; zubi,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,120,143,253,,𒃶,𒃶 ,GAN,GAN,gan; he₂; GAN,GAN (20); gan (16); he₂ (1),gan; he₂,he₂ (58); gan (11),,gan; gaga; he2; saga7 k; [sag7; sig16],,,,,,,,,,,,,kan,kan (2),gan; he₂; hi₂; kan,he₂ (22); kan (3); gan (2); hi₂ (1),,,gan; he₂; hi₂; kan; qan; GAN,kan (669); GAN (83); gan (26); he₂ (4); qan (4); hi₂ (2),gan; kan; GAN,kan (150); GAN (19); gan (8),gan; kan; GAN,GAN (43); kan (32); gan (1)
,,,,,,106,105,174,,𒃷, 𒃷,GAN₂,GAN2,ašag; gan₂; gana₂; GAN₂,gana₂ (27); GAN₂ (7); gan₂ (4); ašag (2),ašag; ga₃; gana₂,ašag (4); gana₂ (2); ga₃ (1),,gan2; gana2; iku; karax k; (aša5); (ul8 k); (ĝa2+k); [ašag],field parcel; surface measure,,,,,,,,, gan2; kan2 (rare); GANA2 - eqlum - ‘field’,,,,,kan₂; GAN₂,GAN₂ (5); kan₂ (4),,,gan₂; kan₂,gan₂ (4); kan₂ (3),,,,
,,,,,,96,244,397,,𒃠, 𒃠,|GA₂×NUN|,ĜANUN (ĜA2×NUN),ganun; ŋanun,ganun (6); ŋanun (4),,,,ĝanun,storage area; magazine,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,202,319.9,492,,𒂶,𒂵,GA@g,GAR2 (GA-g.),gara₂; GA@g,gara₂ (11); GA@g (1),gara₂,gara₂ (6),,gara2 (gar2 k),,,,,,,,,,,,,,,gar₂,gar₂ (1),,,,,,,gar₂,gar₂ (2)
,,,,,,209,333,543,,𒃼, 𒃼,GAR₃,GAR3,gar₃; GAR₃,gar₃ (51); GAR₃ (8),gar₃,gar₃ (2),,gar3; gara3; [kar3]; [kara3],,,,,,,,,, gar3; qar; kar3,,,qar,qar (1),gar₃; kar₃; qar; GAR₃,qar (22); kar₃ (15); gar₃ (1); GAR₃ (1),,,gar₃; kar₃; qar; GAR₃,qar (345); gar₃ (7); GAR₃ (1); kar₃ (1),qar,qar (44),qar,qar (8)
,,,,,,389,367.178,588,,𒊽,,|(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD.GAR&GAR|,GARADIN,,,,,,garadin [karadin],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,139,192,340,,𒄤, 𒄤,|GUM×ŠE|,GAZ (KUM×ŠE),,,gaz,gaz (2),,gaz; naĝa3,to kill; to crush,,,,,,,,,,,,kaṣ₃,kaṣ₃ (2),gaz,gaz (12),,,gas; gaṣ; gaz; kas₃; kaṣ₃,kas₃ (19); kaṣ₃ (16); gaṣ (8); gaz (3); gas (1),kaṣ₃,kaṣ₃ (5),kas₃,kas₃ (14)
